Simulation with Elow=18525.0
Eloss broadening sigma^2=   .250
     HV        Freq          Err         Time
  18525.0    136.6938       .0158    .550E+06
  18526.0    127.3743       .0152    .550E+06
  18527.0    118.5302       .0147    .550E+06
  18528.0    110.1442       .0142    .550E+06
  18529.0    102.2018       .0136    .550E+06
  18530.0     94.6877       .0131    .550E+06
  18531.0     87.5870       .0126    .550E+06
  18532.0     80.8846       .0121    .550E+06
  18533.0     74.5651       .0116    .550E+06
  18534.0     68.6154       .0112    .550E+06
  18535.0     63.0203       .0107    .550E+06
  18536.0     57.7664       .0102    .550E+06
  18537.0     52.8396       .0098    .550E+06
  18538.0     48.2265       .0094    .550E+06
  18539.0     43.9136       .0089    .550E+06
  18540.0     39.8876       .0085    .550E+06
  18541.0     36.1362       .0081    .550E+06
  18542.0     32.6465       .0077    .550E+06
  18543.0     29.4066       .0073    .550E+06
  18544.0     26.4045       .0069    .550E+06
  18545.0     23.6283       .0066    .550E+06
  18546.0     21.0669       .0062    .550E+06
  18547.0     18.7092       .0058    .550E+06
  18548.0     16.5447       .0055    .550E+06
  18549.0     14.5633       .0051    .550E+06
  18550.0     12.7554       .0048    .550E+06
  18551.0     11.1115       .0045    .550E+06
  18552.0      9.6225       .0042    .550E+06
  18553.0      8.2793       .0039    .550E+06
  18554.0      7.0729       .0036    .550E+06
  18555.0      5.9948       .0033    .550E+06
  18556.0      5.0362       .0030    .550E+06
  18557.0      4.1889       .0028    .550E+06
  18558.0      3.4449       .0025    .550E+06
  18559.0      2.7965       .0023    .550E+06
  18560.0      2.2362       .0020    .550E+06
  18561.0      1.7570       .0018    .550E+06
  18562.0      1.3522       .0016    .550E+06
  18563.0      1.0154       .0014    .550E+06
  18564.0       .7404       .0012    .550E+06
  18565.0       .5209       .0010    .550E+06
  18566.0       .3507       .0008    .550E+06
  18567.0       .2234       .0005    .908E+06
  18567.5       .1738       .0004    .908E+06
  18568.0       .1327       .0004    .908E+06
  18568.5       .0992       .0003    .908E+06
  18569.0       .0724       .0003    .908E+06
  18569.5       .0518       .0002    .908E+06
  18570.0       .0363       .0001    .198E+07
  18570.5       .0253       .0000    .122E+08
  18571.0       .0180       .0000    .207E+08
  18571.5       .0136       .0001    .202E+07
  18572.0       .0113       .0001    .330E+07
  18573.0       .0101       .0001    .330E+07
  18574.0       .0100       .0001    .330E+07
  18575.0       .0100       .0001    .330E+07
  18576.0       .0100       .0001    .330E+07
  18577.0       .0100       .0001    .330E+07
  18578.0       .0100       .0001    .330E+07
  18579.0       .0100       .0001    .330E+07
  18580.0       .0100       .0001    .330E+07
