           ip   Enode(ip)                   de(ip)
           1    18630.900000000000000      -56.899998092649180
           2    18629.900000000000000      -55.899998092649180
           3    18628.900000000000000      -54.899998092649180
           4    18627.900000000000000      -53.899998092649180
           5    18626.900000000000000      -52.899998092649180
           6    18625.900000000000000      -51.899998092649180
           7    18624.900000000000000      -50.899998092649180
           8    18623.900000000000000      -49.899998092649180
           9    18622.900000000000000      -48.899998092649180
          10    18621.900000000000000      -47.899998092649180
          11    18620.900000000000000      -46.899998092649180
          12    18619.900000000000000      -45.899998092649180
          13    18618.900000000000000      -44.899998092649180
          14    18617.900000000000000      -43.899998092649180
          15    18616.900000000000000      -42.899998092649180
          16    18615.900000000000000      -41.899998092649180
          17    18614.900000000000000      -40.899998092649180
          18    18613.900000000000000      -39.899998092649180
          19    18612.900000000000000      -38.899998092649180
          20    18611.900000000000000      -37.899998092649180
          21    18610.900000000000000      -36.899998092649180
          22    18609.900000000000000      -35.899998092649180
          23    18608.900000000000000      -34.899998092649180
          24    18607.900000000000000      -33.899998092649180
          25    18606.900000000000000      -32.899998092649180
          26    18605.900000000000000      -31.899998092649180
          27    18604.900000000000000      -30.899998092649180
          28    18603.900000000000000      -29.899998092649180
          29    18602.900000000000000      -28.899998092649180
          30    18601.900000000000000      -27.899998092649180
          31    18600.900000000000000      -26.899998092649180
          32    18599.900000000000000      -25.899998092649180
          33    18598.900000000000000      -24.899998092649180
          34    18597.900000000000000      -23.899998092649180
          35    18596.900000000000000      -22.899998092649180
          36    18595.900000000000000      -21.899998092649180
          37    18594.900000000000000      -20.899998092649180
          38    18593.900000000000000      -19.899998092649180
          39    18592.900000000000000      -18.899998092649180
          40    18591.900000000000000      -17.899998092649180
          41    18590.900000000000000      -16.899998092649180
          42    18589.900000000000000      -15.899998092649180
          43    18588.900000000000000      -14.899998092649180
          44    18587.900000000000000      -13.899998092649180
          45    18586.900000000000000      -12.899998092649180
          46    18585.900000000000000      -11.899998092649180
          47    18584.900000000000000      -10.899998092649180
          48    18583.900000000000000       -9.899998092649184
          49    18582.900000000000000       -8.899998092649184
          50    18581.900000000000000       -7.899998092649184
          51    18580.900000000000000       -6.899998092649184
          52    18579.900000000000000       -5.899998092649184
          53    18578.900000000000000       -4.899998092649184
          54    18577.900000000000000       -3.899998092649184
          55    18576.900000000000000       -2.899998092649184
          56    18575.900000000000000       -1.899998092649184
          57    18574.900000000000000  -8.999980926491844E-001
          58    18573.900000000000000   1.000019073508156E-001
          59    18572.900000000000000        1.100001907350816
          60    18571.900000000000000        2.100001907350816
          61    18570.900000000000000        3.100001907350816
          62    18569.900000000000000        4.100001907350816
          63    18568.900000000000000        5.100001907350816
          64    18567.900000000000000        6.100001907350816
          65    18566.900000000000000        7.100001907350816
          66    18565.900000000000000        8.100001907350816
          67    18564.900000000000000        9.100001907350816
          68    18563.900000000000000       10.100001907350820
          69    18562.900000000000000       11.100001907350820
          70    18561.900000000000000       12.100001907350820
