          im       mnu2(im)
           1       -4.000000000000000
           2       -3.800000000000000
           3       -3.600000000000000
           4       -3.400000000000000
           5       -3.200000000000000
           6       -3.000000000000000
           7       -2.800000000000000
           8       -2.600000000000000
           9       -2.400000000000000
          10       -2.200000000000000
          11       -2.000000000000000
          12       -1.800000000000000
          13       -1.600000000000000
          14       -1.400000000000000
          15       -1.200000000000000
          16       -1.000000000000000
          17  -9.500000000000001E-001
          18  -9.000000000000000E-001
          19  -8.500000000000001E-001
          20  -8.000000000000000E-001
          21  -7.500000000000000E-001
          22  -7.000000000000001E-001
          23  -6.500000000000000E-001
          24  -6.000000000000001E-001
          25  -5.500000000000000E-001
          26  -5.000000000000000E-001
          27  -4.500000000000000E-001
          28  -4.000000000000000E-001
          29  -3.500000000000000E-001
          30  -3.000000000000000E-001
          31  -2.500000000000000E-001
          32  -2.000000000000000E-001
          33  -1.500000000000000E-001
          34  -1.000000000000000E-001
          35  -5.000000000000000E-002
          36   0.000000000000000E+000
          37   5.000000000000000E-002
          38   1.000000000000000E-001
          39   1.500000000000000E-001
          40   2.000000000000000E-001
          41   2.500000000000000E-001
          42   3.000000000000000E-001
          43   3.500000000000000E-001
          44   4.000000000000000E-001
          45   4.500000000000000E-001
          46   5.000000000000000E-001
          47   5.500000000000000E-001
          48   6.000000000000001E-001
          49   6.500000000000000E-001
          50   7.000000000000001E-001
          51   7.500000000000000E-001
          52   8.000000000000000E-001
          53   8.500000000000001E-001
          54   9.000000000000000E-001
          55   9.500000000000001E-001
          56        1.000000000000000
          57        1.200000000000000
          58        1.400000000000000
          59        1.600000000000000
          60        1.800000000000000
          61        2.000000000000000
          62        2.200000000000000
          63        2.400000000000000
          64        2.600000000000000
          65        2.800000000000000
          66        3.000000000000000
          67        3.200000000000000
          68        3.400000000000000
          69        3.600000000000000
          70        3.800000000000000
          71        4.000000000000000
          72        4.500000000000000
          73        5.000000000000000
          74        5.500000000000000
          75        6.000000000000000
          76        6.500000000000000
          77        7.000000000000000
          78        7.500000000000000
          79        8.000000000000000
          80        8.500000000000000
          81        9.000000000000000
          82        9.500000000000000
          83       10.000000000000000
          84       10.500000000000000
          85       11.000000000000000
          86       11.500000000000000
          87       12.000000000000000
          88       12.500000000000000
          89       13.000000000000000
          90       13.500000000000000
          91       14.000000000000000
          92       14.500000000000000
          93       15.000000000000000
          94       15.500000000000000
          95       16.000000000000000
          96       16.500000000000000
          97       17.000000000000000
          98       17.500000000000000
          99       18.000000000000000
         100       18.500000000000000
         101       19.000000000000000
         102       19.500000000000000
         103       20.000000000000000
         104       20.500000000000000
         105       21.000000000000000
         106       21.500000000000000
         107       22.000000000000000
         108       22.500000000000000
         109       23.000000000000000
         110       23.500000000000000
